age,old_1,male_height,old_2,male_weight,old_3,female_height,old_4,female_weight
1,80.2,78.8,10.9,10.4,78.8,78.7,10.1,10.0,
2,88.6,89.1,12.6,12.8,88.1,87.3,12.0,12.1,
3,96.6,95.3,15.0,14.2,96.6,95.2,14.6,13.8,
4,103.4,103.2,16.6,16.5,101.3,102.3,16.1,15.8,
5,110.9,109.5,19.1,18.5,108.4,110.7,18.4,18.2,
6,115.4,115.9,20.6,20.4,115.3,116.3,20.5,20.4,
7,122.2,121.1,25.1,23.4,121.5,121.8,23.1,23.4,
8,127.2,127.3,26.0,26.2,126.4,125.6,25.9,24.8,
9,133.3,133.1,30.5,29.8,133.3,134.0,30.0,29.5,
10,139.0,137.5,35.4,32.9,139.2,139.0,34.3,32.5,
11,143.1,145.0,37.5,37.1,146.0,145.7,38.9,37.2,
12,153.6,149.9,45.4,42.2,150.4,151.1,42.0,43.1,
13,159.8,158.8,50.0,45.8,154.2,156.4,45.5,45.9,
14,164.5,164.1,54.8,51.9,157.7,155.3,49.6,47.2,
15,167.8,169.2,58.8,57.2,157.2,157.3,53.9,49.0,
16,170.0,169.4,61.1,58.1,157.6,158.3,51.7,49.1,
17,171.3,170.0,62.2,61.0,158.0,160.8,50.2,53.8,
18,169.6,170.6,59.8,61.2,156.5,159.0,50.1,50.9,
19,171.4,169.8,62.8,62.4,158.2,157.7,54.4,47.1,
20,171.7,170.9,63.2,64.6,159.3,157.8,49.8,51.6,
21,170.5,171.9,62.3,64.3,156.1,157.9,49.4,51.9,
22,171.0,171.5,64.9,65.0,159.8,157.4,50.7,51.1,
23,170.1,171.6,64.4,64.3,158.6,158.2,52.6,51.5,
24,171.2,171.2,64.1,64.9,157.6,157.7,49.8,50.6,
25,170.8,172.1,66.4,67.3,158.7,159.6,49.6,54.5,
26～29,171.5,171.6,68.1,66.5,158.7,157.8,52.1,52.0,
30～39,170.9,171.2,69.4,69.2,157.9,158.4,52.8,53.5,
40～49,169.3,170.9,68.5,70.5,156.3,157.9,54.9,54.7,
50～59,166.2,168.6,65.8,68.0,153.2,156.1,54.3,55.2,
60～69,163.1,165.5,62.9,64.7,150.8,152.8,53.9,53.2,
70~,160.1,162.1,59.0,61.4,146.3,148.2,50.1,50.3,
